zeit;1-A001-SW-HF-099-429;2-A001-SW-HF-099-1672;3-A001-SW-HF-100-449;4-A001-SW-HF-100-612;5-A001-SW-HF-100-1719;6-A001-SW-HF-101-723;8-A001-SW-HF-101-3932;9-A001-SW-HF-102-14;11-A001-SW-HF-102-2141;14-A001-SW-HF-103-764;16-A001-SW-HF-103-2822;17-A001-SW-HF-103-3539;19-A004-NO-HF-011-96;20-A004-NO-HF-011-2225;21-A004-NO-HF-011-3247;22-A004-NO-HF-011-4211;23-A004-NO-HF-011-5316;24-A004-NO-HF-S11-400;25-A004-NO-HF-012-107;26-A004-NO-HF-012-1997;27-A004-NO-HF-012-2663;28-A004-NO-HF-013-989;29-A004-NO-HF-013-2589;30-A004-NO-HF-014-432;31-A004-NO-HF-014-1783;32-A004-NO-HF-015-979;33-A004-NO-HF-015-2176;34-A003-NO-HF-027-1379;35-A003-NO-HF-027-2246;36-A003-NO-HF-026-435;38-A003-NO-HF-026-1600;39-A003-NO-HF-025-852;40-A003-NO-HF-025-1808;41-A003-NO-HF-024-786;42-A003-NO-HF-024-930;44-A003-NO-HF-024-2873;45-A003-NO-HF-024-4199;46-A003-NO-HF-023-476;47-A003-NO-HF-023-1778
26.08.2014 00:19:00+00;2;2;2;3;1;3;2;1;3;4;2;3;7;7;9;8;8;8;8;8;7;10;9;10;5;6;6;12;14;16;13;12;14;17;16;16;16;16;12
26.08.2014 00:20:00+00;3;2;2;3;2;3;2;3;4;3;3;4;7;5;9;6;7;7;7;9;8;9;8;9;6;6;6;13;13;13;12;13;13;16;12;15;14;16;14
26.08.2014 00:21:00+00;3;2;3;3;1;2;2;2;4;4;4;3;6;6;7;8;6;5;8;7;9;10;8;9;6;6;4;10;12;11;13;13;12;15;12;15;15;13;12
26.08.2014 00:22:00+00;4;2;3;3;2;2;3;2;5;4;5;4;8;7;8;4;6;5;7;7;7;11;8;9;6;5;5;13;10;11;14;14;12;13;12;13;14;13;11
26.08.2014 00:23:00+00;3;2;5;3;2;4;2;2;3;5;4;4;8;8;8;6;5;5;6;6;7;8;11;8;5;5;6;14;12;12;11;12;14;12;12;13;14;13;11
26.08.2014 00:24:00+00;4;2;5;4;3;4;4;4;3;3;2;3;8;8;10;7;7;7;5;7;6;9;10;9;6;7;7;16;12;13;12;11;14;12;12;13;12;13;12
26.08.2014 00:25:00+00;3;1;7;3;4;5;3;3;3;3;4;2;6;6;8;8;6;7;5;9;9;6;8;8;6;6;6;13;11;14;14;11;13;13;11;11;11;12;11
26.08.2014 00:26:00+00;2;0;4;5;4;4;5;4;4;3;3;4;6;6;8;7;7;7;6;8;7;8;7;8;7;5;6;16;11;14;15;12;13;12;11;12;11;11;11
26.08.2014 00:27:00+00;1;1;4;4;3;5;4;4;4;4;5;4;5;7;7;8;7;6;5;8;8;9;6;8;5;4;6;14;9;14;13;12;13;13;12;13;11;12;11
26.08.2014 00:28:00+00;2;1;2;4;2;4;5;6;5;3;3;5;7;7;8;6;7;7;5;7;7;11;7;9;5;4;5;15;9;12;15;14;12;12;11;14;11;13;12
26.08.2014 00:29:00+00;3;1;3;2;1;4;4;3;5;4;4;4;6;6;7;7;6;6;8;8;8;11;9;9;3;3;5;10;10;13;12;14;13;13;11;13;12;14;11
26.08.2014 00:30:00+00;3;1;5;4;1;4;4;4;3;4;3;4;5;5;6;6;7;6;9;7;7;11;9;9;4;5;3;8;11;14;12;12;14;13;14;15;12;14;12
26.08.2014 00:31:00+00;2;0;5;5;2;3;4;3;3;3;3;3;5;6;6;6;5;5;6;7;7;11;10;10;4;5;3;9;9;13;8;8;13;13;12;16;14;13;10
26.08.2014 00:32:00+00;3;1;4;4;4;5;3;4;3;3;4;3;7;6;9;6;4;4;5;5;5;8;8;10;6;6;3;10;9;13;9;8;10;13;11;13;11;13;11
26.08.2014 00:33:00+00;2;1;3;4;4;6;4;5;4;4;5;4;8;9;7;7;5;6;4;5;4;8;9;10;5;6;3;13;9;9;9;9;8;12;9;11;13;11;11
26.08.2014 00:34:00+00;4;2;4;3;3;6;6;6;4;4;4;4;7;6;10;7;6;8;4;7;5;7;9;9;5;8;4;13;8;11;11;10;8;12;8;9;12;11;11
26.08.2014 00:35:00+00;4;2;5;4;2;3;7;5;3;5;3;4;6;8;9;8;7;7;5;8;9;7;6;8;6;6;3;13;8;8;15;12;10;11;8;9;12;9;12
26.08.2014 00:36:00+00;4;2;5;5;2;3;5;2;3;3;3;4;6;5;10;5;8;5;6;8;7;8;7;6;6;6;3;13;7;10;17;15;13;8;13;9;9;8;10
26.08.2014 00:37:00+00;3;1;4;5;4;3;3;2;3;3;4;3;6;7;7;7;5;5;7;8;7;9;9;7;6;5;4;12;9;10;18;15;14;8;13;12;9;11;9
26.08.2014 00:38:00+00;4;0;4;4;2;4;4;4;4;3;3;3;7;9;8;5;6;6;4;6;5;9;10;10;6;6;4;10;9;11;16;15;16;12;16;13;10;13;8
26.08.2014 00:39:00+00;4;0;7;4;3;2;5;3;5;4;5;3;8;9;9;8;6;6;4;6;7;6;8;11;6;7;5;11;9;11;15;14;15;14;14;17;14;14;11
26.08.2014 00:40:00+00;3;1;6;5;3;4;4;3;4;6;5;5;8;8;8;8;7;9;5;8;8;9;7;9;6;5;5;11;9;10;14;13;15;16;14;15;13;14;13
26.08.2014 00:41:00+00;2;1;4;6;4;5;3;3;5;5;6;5;7;5;8;8;7;7;8;10;8;9;8;6;5;5;6;12;9;10;14;14;13;14;11;15;14;14;14
26.08.2014 00:42:00+00;3;0;4;4;4;5;3;4;4;5;3;5;5;6;5;7;7;7;7;10;8;12;8;8;4;3;5;11;8;11;13;13;14;13;13;13;13;15;13
26.08.2014 00:43:00+00;2;0;3;4;3;4;5;6;4;3;3;3;6;6;7;4;7;5;7;8;8;10;10;7;4;3;3;10;9;11;14;12;11;12;12;13;13;12;13
26.08.2014 00:44:00+00;1;0;3;3;2;4;3;3;2;4;3;4;7;7;6;6;5;4;7;7;7;11;9;11;4;5;3;10;9;10;11;11;11;13;12;11;12;13;13
26.08.2014 00:45:00+00;1;0;3;4;2;4;2;4;4;3;4;3;8;7;8;6;5;5;5;5;4;9;11;10;4;5;5;10;8;11;12;9;10;13;10;13;12;11;13
26.08.2014 00:46:00+00;1;1;2;2;1;4;3;4;4;4;5;3;7;7;7;7;6;6;5;6;5;9;10;11;4;5;6;9;11;14;9;9;9;11;10;12;10;11;10
26.08.2014 00:47:00+00;2;1;2;1;0;2;4;4;6;5;5;3;9;8;8;7;6;6;4;6;7;8;8;10;6;6;5;8;11;15;12;9;9;12;11;11;11;10;8
26.08.2014 00:48:00+00;3;2;3;2;0;2;2;2;5;4;4;5;8;8;9;8;6;7;6;7;7;8;7;7;6;5;3;9;11;11;11;9;10;11;10;9;10;11;10
26.08.2014 00:49:00+00;3;2;4;3;1;1;2;2;5;5;5;5;7;8;9;9;6;9;6;8;7;9;8;9;5;4;3;9;7;10;10;8;10;9;9;9;11;9;9
26.08.2014 00:50:00+00;4;2;5;4;3;3;2;2;3;5;4;6;7;7;9;9;9;9;5;10;10;10;9;7;4;4;5;14;8;10;10;10;11;10;11;10;9;9;9
26.08.2014 00:51:00+00;3;2;4;4;4;4;3;3;6;4;6;3;6;7;9;7;9;8;8;12;12;9;9;10;5;4;6;14;11;14;10;10;9;9;9;11;10;10;11
26.08.2014 00:52:00+00;3;2;4;4;3;5;4;4;5;7;6;5;6;5;8;6;7;6;8;11;11;10;7;8;5;6;7;14;12;16;13;10;10;11;8;10;9;10;10
26.08.2014 00:53:00+00;3;1;4;4;2;4;5;4;6;10;7;4;5;5;9;5;6;7;9;7;7;12;10;10;5;5;4;10;12;15;11;11;10;9;9;10;10;9;11
26.08.2014 00:54:00+00;3;1;3;4;3;4;3;4;3;6;4;5;5;5;8;5;5;6;6;8;7;14;10;12;4;8;4;12;8;11;11;12;11;9;11;10;7;10;9
26.08.2014 00:55:00+00;3;0;3;4;3;4;4;3;3;1;2;4;5;5;6;5;5;5;6;6;7;13;13;12;7;7;5;14;8;11;9;12;11;9;11;11;10;9;11
26.08.2014 00:56:00+00;3;1;4;3;3;5;5;4;3;2;2;3;6;6;6;5;5;4;6;6;5;9;11;12;8;10;6;14;9;12;11;7;9;10;10;11;9;12;8
26.08.2014 00:57:00+00;2;1;4;4;2;4;5;4;4;3;4;2;7;6;7;6;4;4;4;4;5;9;9;12;9;9;8;16;12;14;15;13;9;10;8;10;11;10;10
26.08.2014 00:58:00+00;3;1;4;4;3;4;4;4;3;3;4;3;7;7;7;6;6;5;4;5;4;6;7;9;8;8;6;15;14;16;15;14;12;10;10;8;10;10;10
26.08.2014 00:59:00+00;3;1;5;4;2;3;4;3;4;2;3;4;6;5;7;8;5;6;3;7;7;6;6;7;7;4;4;16;13;14;17;13;12;9;11;11;10;9;10
26.08.2014 01:00:00+00;4;1;6;5;2;4;4;3;3;2;3;4;5;4;7;7;6;6;4;7;7;7;6;6;5;4;2;15;12;12;15;14;15;10;14;12;8;12;11
26.08.2014 01:01:00+00;3;1;6;5;3;3;3;3;3;3;3;3;4;7;6;7;5;6;4;8;8;9;6;5;5;5;2;15;9;10;15;12;14;13;15;14;10;14;7
26.08.2014 01:02:00+00;2;2;4;7;4;4;2;4;3;4;3;3;8;12;8;4;6;5;6;6;6;8;7;8;6;5;3;12;8;9;11;12;13;13;12;13;11;12;10
26.08.2014 01:03:00+00;3;1;3;4;5;4;4;5;3;3;2;3;10;12;12;5;4;4;5;7;7;8;7;8;5;6;4;13;7;10;9;9;13;14;10;13;12;12;11
26.08.2014 01:04:00+00;3;2;3;3;3;4;4;5;4;4;3;3;10;10;13;7;6;4;6;4;4;5;8;8;5;5;5;16;8;11;8;9;10;11;8;12;11;11;12
26.08.2014 01:05:00+00;5;1;3;2;3;4;5;4;6;3;5;4;8;6;12;11;3;3;5;5;6;8;6;7;5;4;5;16;9;13;13;10;9;11;8;10;12;12;10
26.08.2014 01:06:00+00;3;1;6;3;3;5;4;4;5;5;6;4;6;8;8;10;3;7;4;3;4;7;8;8;4;3;5;15;11;13;13;12;10;11;11;10;10;10;9
26.08.2014 01:07:00+00;4;1;5;6;3;5;5;3;5;5;5;6;8;7;8;9;3;11;3;3;3;8;8;10;4;5;6;13;12;14;15;15;11;10;13;12;9;10;10
26.08.2014 01:08:00+00;4;1;5;5;4;6;3;4;3;6;5;6;8;7;8;8;11;11;2;3;2;5;8;9;4;5;6;11;12;14;14;9;14;11;13;13;11;12;8
26.08.2014 01:09:00+00;4;2;5;5;2;5;5;5;4;5;4;5;8;6;8;7;13;10;1;13;8;4;5;8;5;3;4;8;11;14;14;12;10;12;10;13;13;13;11
26.08.2014 01:10:00+00;3;1;4;4;3;4;7;5;3;4;3;4;6;7;9;7;11;7;7;15;13;4;3;5;3;3;4;9;8;11;12;12;11;14;11;11;14;12;11
26.08.2014 01:11:00+00;2;1;4;4;1;2;6;4;3;3;3;3;7;6;8;7;7;6;12;15;14;9;4;4;2;1;3;12;6;9;11;14;11;12;12;12;12;10;14
26.08.2014 01:12:00+00;2;0;3;5;2;3;5;3;4;2;2;4;7;7;8;7;5;6;13;8;11;14;8;6;2;3;5;13;9;12;13;11;13;11;11;12;9;12;10
26.08.2014 01:13:00+00;1;0;3;3;2;6;3;3;4;3;4;4;7;7;8;8;6;5;10;6;7;15;13;10;2;4;5;14;9;13;11;12;11;12;10;13;12;12;10
26.08.2014 01:14:00+00;3;0;2;4;1;4;2;5;6;2;5;5;6;6;9;7;7;7;4;7;7;12;15;14;4;8;5;12;11;15;13;11;11;13;11;11;12;11;11
26.08.2014 01:15:00+00;3;0;4;2;1;3;2;4;5;6;5;6;6;6;8;8;6;6;6;6;7;8;14;15;9;10;2;12;11;11;11;10;10;12;10;11;13;11;12
26.08.2014 01:16:00+00;4;0;4;4;1;1;3;3;5;7;5;6;7;8;8;6;7;7;6;7;7;7;10;11;12;11;3;13;11;10;12;11;9;9;9;10;10;10;12
26.08.2014 01:17:00+00;2;0;3;3;2;1;2;1;5;5;4;6;8;9;9;6;4;5;7;7;7;7;9;8;11;7;5;17;8;12;11;11;9;10;10;10;10;11;9
26.08.2014 01:18:00+00;3;0;2;3;2;2;1;1;3;4;4;5;8;7;11;7;6;7;6;5;5;8;9;8;5;6;7;19;9;15;14;13;10;9;11;10;10;9;9
26.08.2014 01:19:00+00;1;1;3;2;1;2;2;2;3;2;3;4;6;5;8;9;7;9;4;6;7;8;8;8;5;6;6;20;12;19;15;12;13;11;10;10;9;10;7
26.08.2014 01:20:00+00;1;1;4;3;1;3;3;4;3;4;4;3;6;7;7;7;9;7;6;7;8;7;7;8;6;6;6;19;12;17;17;15;13;10;11;11;10;9;8
26.08.2014 01:21:00+00;1;1;3;2;2;3;4;3;5;4;4;4;8;10;8;5;7;6;7;11;9;10;6;8;6;6;4;17;10;13;19;14;14;11;13;12;10;13;8
26.08.2014 01:22:00+00;2;1;2;2;2;2;3;2;5;6;4;3;10;11;11;6;5;5;9;7;8;13;7;8;6;5;4;16;10;12;17;17;13;14;14;16;10;13;9
26.08.2014 01:23:00+00;2;1;2;3;1;3;3;2;4;4;3;4;8;8;12;8;5;7;7;8;7;11;9;9;5;6;4;15;10;11;17;15;15;15;14;17;11;17;11
26.08.2014 01:24:00+00;3;1;3;3;1;3;3;2;3;4;4;3;7;5;9;11;7;8;7;7;6;10;10;10;7;5;5;17;10;13;15;14;16;17;14;18;14;14;13
26.08.2014 01:25:00+00;3;1;4;3;1;3;1;2;4;3;3;4;6;6;7;8;9;7;4;8;9;10;10;10;8;6;4;16;10;12;13;12;14;17;15;15;14;16;14
26.08.2014 01:26:00+00;2;1;4;4;2;3;1;3;4;3;3;3;7;7;6;6;8;6;7;9;9;10;10;10;8;8;5;19;12;14;14;12;14;17;14;14;15;15;14
26.08.2014 01:27:00+00;3;1;3;5;3;4;3;3;5;4;5;4;7;7;9;6;7;5;7;8;9;12;10;11;7;9;7;19;14;17;15;12;13;15;15;13;14;14;14
26.08.2014 01:28:00+00;3;1;6;4;3;4;3;4;5;5;6;5;8;7;10;6;6;6;9;8;8;13;11;10;8;8;7;17;12;18;17;15;14;13;14;14;15;15;13
26.08.2014 01:29:00+00;5;1;6;7;2;3;4;4;6;5;7;5;8;6;11;8;6;7;7;8;6;12;10;11;9;7;6;17;12;17;16;16;16;16;16;16;15;15;13
26.08.2014 01:30:00+00;3;1;7;5;3;3;4;3;4;5;5;6;8;7;9;8;7;7;6;8;7;11;11;10;7;7;5;17;12;16;13;15;16;14;15;16;14;16;13
26.08.2014 01:31:00+00;3;1;5;6;3;3;4;3;5;4;4;5;7;7;9;8;7;6;5;7;7;9;11;12;6;8;6;17;11;16;13;12;14;16;15;16;14;17;13
26.08.2014 01:32:00+00;3;1;5;5;2;3;4;3;5;4;4;4;7;6;8;7;7;7;6;7;7;9;11;11;8;9;8;16;13;16;15;13;14;14;13;13;15;16;14
26.08.2014 01:33:00+00;4;0;4;6;3;3;4;2;5;4;4;3;6;6;7;7;8;8;6;7;7;8;8;10;9;8;6;17;13;18;17;15;14;16;14;13;15;13;13
26.08.2014 01:34:00+00;5;1;5;5;3;4;3;3;4;6;5;4;6;5;8;5;8;8;6;9;7;8;7;9;9;7;5;18;14;15;15;15;16;13;15;14;14;13;13
26.08.2014 01:35:00+00;5;1;5;5;2;4;4;4;3;3;4;5;5;5;7;6;7;5;7;8;8;9;9;9;8;5;4;17;12;15;16;13;14;14;15;17;11;14;14
26.08.2014 01:36:00+00;6;1;7;5;2;4;4;5;4;5;4;3;5;6;6;6;7;5;7;6;8;11;9;11;5;6;5;19;8;11;15;14;14;15;11;15;15;15;13
26.08.2014 01:37:00+00;5;1;9;7;3;4;4;5;6;6;5;4;5;9;5;5;6;5;5;8;7;10;11;10;5;6;5;18;8;13;18;14;14;15;14;14;15;14;13
26.08.2014 01:38:00+00;4;1;9;8;5;4;3;4;6;6;7;3;9;9;8;6;5;5;5;8;7;9;9;10;5;6;5;15;12;15;17;14;16;13;15;13;13;14;12
26.08.2014 01:39:00+00;4;2;8;8;4;5;3;5;4;7;6;4;9;7;11;7;4;6;5;7;6;8;10;9;6;6;5;13;12;16;18;15;16;13;16;17;12;15;12
26.08.2014 01:40:00+00;4;2;7;7;4;5;4;5;4;4;3;4;7;5;9;10;5;9;5;4;6;7;7;9;7;7;5;16;12;14;16;16;17;14;15;16;15;16;13
26.08.2014 01:41:00+00;4;2;6;6;3;5;6;5;4;4;3;3;5;5;6;8;7;9;4;6;6;8;9;8;8;6;7;17;11;16;15;12;16;15;16;17;14;17;14
26.08.2014 01:42:00+00;5;2;5;5;4;5;4;4;6;4;6;3;5;6;5;6;7;8;5;9;8;7;6;8;6;6;5;18;10;16;16;12;14;16;14;17;16;15;14
26.08.2014 01:43:00+00;5;2;9;5;3;5;2;5;8;6;8;5;6;6;6;4;5;5;6;9;8;6;7;6;6;5;6;16;11;17;14;11;13;15;13;15;16;15;17
26.08.2014 01:44:00+00;3;2;7;5;3;5;3;5;7;7;7;8;6;6;6;5;4;5;7;6;8;8;5;6;4;5;7;15;13;16;13;12;12;17;14;15;15;13;14
26.08.2014 01:45:00+00;3;1;9;6;4;5;4;5;7;5;7;7;5;7;7;6;4;6;6;5;7;9;7;7;5;5;9;14;15;19;13;11;12;13;15;14;14;14;16
26.08.2014 01:46:00+00;3;0;5;8;5;6;6;5;6;7;6;6;8;7;8;6;4;6;5;4;5;8;7;8;3;6;7;13;16;20;14;13;13;14;13;13;14;13;11
26.08.2014 01:47:00+00;2;0;5;6;4;6;7;4;7;5;6;6;8;7;8;6;6;6;4;6;7;7;8;8;5;7;6;11;13;16;15;13;15;12;12;12;13;14;12
26.08.2014 01:48:00+00;3;0;3;5;4;5;7;5;4;6;4;6;7;6;8;7;5;6;5;6;5;9;6;8;5;7;4;10;9;15;11;12;13;15;11;13;13;12;10
26.08.2014 01:49:00+00;3;0;4;3;2;4;5;5;5;3;2;6;6;6;7;7;8;6;4;6;6;8;7;8;6;6;4;11;7;12;9;9;11;13;10;12;12;12;13
26.08.2014 01:50:00+00;3;0;4;4;1;2;4;4;7;4;5;3;7;8;7;6;6;7;3;8;7;8;8;8;4;6;5;13;7;11;9;7;10;12;9;11;12;10;11
26.08.2014 01:51:00+00;2;0;4;5;2;4;2;2;7;6;8;5;7;8;8;7;8;6;5;7;7;6;7;7;5;6;7;15;9;13;11;9;9;8;7;10;10;10;11
26.08.2014 01:52:00+00;2;1;2;5;1;4;4;4;7;7;8;8;8;8;8;7;5;7;5;8;8;8;6;5;5;5;6;14;12;15;14;12;9;10;10;9;9;9;7
26.08.2014 01:53:00+00;2;1;3;2;1;3;5;4;7;7;5;8;8;6;9;8;7;7;6;8;7;9;7;6;5;4;5;14;12;15;15;13;11;9;12;10;9;11;9
26.08.2014 01:54:00+00;2;1;4;3;0;1;4;3;6;6;5;5;6;6;9;10;7;6;6;8;8;10;9;10;5;6;5;13;9;12;15;12;14;11;13;13;9;12;8
26.08.2014 01:55:00+00;1;0;4;3;1;3;3;1;5;5;5;5;9;11;7;8;8;7;6;8;8;9;9;10;5;7;7;13;11;13;14;10;13;11;14;16;10;13;9
26.08.2014 01:56:00+00;1;0;3;4;1;3;1;3;5;5;5;5;12;12;12;8;8;6;6;9;8;9;9;11;5;7;5;13;12;15;12;12;11;13;12;14;11;14;12
26.08.2014 01:57:00+00;2;1;4;4;2;3;2;2;4;5;5;5;11;10;12;10;7;9;6;9;8;8;8;10;4;5;5;16;12;15;11;9;12;13;11;12;11;11;13
26.08.2014 01:58:00+00;3;1;3;5;2;2;2;4;5;4;5;5;9;7;11;11;8;10;6;11;9;9;8;8;5;7;4;14;10;14;14;12;11;11;10;12;13;12;13
26.08.2014 01:59:00+00;3;1;4;3;4;2;3;1;4;5;4;5;7;8;7;11;10;10;8;10;9;12;8;8;5;6;5;13;10;16;14;11;13;10;10;10;10;11;14
26.08.2014 02:00:00+00;4;1;5;4;3;6;3;4;3;3;2;4;9;9;8;8;10;9;8;11;11;12;10;8;5;6;8;11;11;15;12;12;11;12;11;11;10;11;12
26.08.2014 02:01:00+00;3;1;5;4;3;6;6;5;5;3;3;3;10;9;9;7;10;6;9;11;11;9;11;11;6;7;6;11;11;20;11;9;13;12;13;11;11;10;14
26.08.2014 02:02:00+00;3;1;4;4;1;6;7;7;5;3;4;2;9;8;10;10;9;8;10;10;11;12;10;12;8;9;6;9;14;17;12;10;11;11;10;12;10;11;11
26.08.2014 02:03:00+00;3;0;6;4;2;2;7;5;5;5;5;5;8;10;9;9;10;8;9;10;9;11;10;11;9;9;4;12;11;17;13;10;13;12;11;11;12;12;11
26.08.2014 02:04:00+00;2;1;4;5;3;4;6;4;4;5;5;5;10;9;9;9;8;8;8;11;10;10;11;10;9;7;5;16;11;13;10;9;11;12;9;12;12;12;11
26.08.2014 02:05:00+00;3;1;5;5;3;5;5;5;4;4;4;6;10;9;9;8;9;8;8;10;9;10;9;12;8;9;6;18;8;14;12;8;10;13;10;11;13;12;12
26.08.2014 02:06:00+00;4;1;4;4;2;6;5;6;4;4;3;4;8;6;9;9;8;8;9;10;11;12;8;11;10;8;8;17;9;14;12;11;11;11;9;11;12;11;11
26.08.2014 02:07:00+00;5;1;5;3;2;5;5;4;4;3;4;3;6;6;9;9;9;9;9;10;10;12;9;9;8;8;6;14;11;16;17;14;12;10;10;11;9;10;11
26.08.2014 02:08:00+00;4;1;6;5;1;4;4;4;5;5;5;5;4;5;9;7;9;8;8;10;11;12;11;10;8;7;8;14;10;14;15;15;14;10;12;13;11;11;10
26.08.2014 02:09:00+00;3;1;6;6;3;4;4;4;5;5;4;4;5;7;8;5;8;4;7;10;11;10;9;10;7;9;8;16;10;16;13;11;14;11;12;12;11;13;12
26.08.2014 02:10:00+00;1;1;7;7;3;5;3;4;6;4;4;5;7;7;9;5;4;5;7;10;9;11;9;10;10;9;9;17;11;17;13;10;11;12;12;13;12;14;11
26.08.2014 02:11:00+00;2;0;5;4;2;4;5;6;5;5;5;4;8;7;8;7;5;5;7;8;7;12;10;11;10;8;7;16;13;20;14;12;12;13;10;11;11;14;13
26.08.2014 02:12:00+00;3;0;6;3;2;4;6;4;5;5;5;5;9;7;8;8;7;7;6;8;8;12;12;12;9;6;9;17;12;20;13;14;11;13;11;11;11;10;10
26.08.2014 02:13:00+00;5;0;6;4;2;4;6;3;5;4;5;4;7;6;8;7;8;5;6;11;10;10;11;12;6;8;9;17;16;22;13;13;12;11;11;12;9;11;12
26.08.2014 02:14:00+00;4;1;7;6;3;4;5;4;5;5;4;5;6;8;8;6;8;6;8;11;9;9;10;11;9;8;10;16;16;23;16;12;13;13;12;12;10;12;10
26.08.2014 02:15:00+00;5;1;5;5;3;5;6;5;8;5;6;4;8;8;9;7;8;6;8;10;8;11;10;9;8;9;7;15;19;23;15;14;11;11;10;12;11;12;10
26.08.2014 02:16:00+00;4;1;7;4;2;4;6;4;5;7;6;7;10;10;11;9;7;6;8;10;9;13;10;9;9;8;8;20;15;19;14;13;13;11;13;11;11;11;10
