|1x3 Cross validator
less-200DM, 18, critical, new-car, 1056, less100DM, over-seven, 3, single-male, guarantor, 3, real-estate, 30, bank, own, 2, skilled, 1, yes, yes, bad.
no-account, 6, all-paid-duly, radio-tv, 426, less100DM, over-seven, 4, married-male, none, 4, car, 39, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 9, critical, new-car, 1224, less100DM, four-years, 3, single-male, none, 1, real-estate, 30, none, own, 2, skilled, 1, yes, yes, good.
no-account, 6, duly-till-now, radio-tv, 1346, less500DM, over-seven, 2, single-male, none, 4, none, 42, bank, free, 1, skilled, 2, no, yes, good.
less-200DM, 18, critical, furniture, 7374, less100DM, unemployed, 4, single-male, none, 4, building-society, 40, stores, own, 2, management, 1, no, yes, good.
no-account, 12, duly-till-now, radio-tv, 804, less100DM, over-seven, 4, single-male, none, 4, car, 38, none, own, 1, skilled, 1, yes, yes, good.
no-account, 6, bank-paid-duly, radio-tv, 1750, less1000DM, over-seven, 2, single-male, none, 4, building-society, 45, bank, own, 1, unskilled-resident, 2, yes, yes, good.
over-200DM, 21, critical, education, 2319, less100DM, one-year, 2, male-divorced, none, 1, car, 33, none, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 6, critical, retraining, 932, unknown, seven-years, 1, female-divorced, none, 3, building-society, 39, none, own, 2, unskilled-resident, 1, yes, yes, good.
over-200DM, 12, duly-till-now, radio-tv, 1881, less100DM, four-years, 2, female-divorced, none, 2, car, 44, none, rent, 1, unskilled-resident, 1, no, yes, good.
0DM, 18, duly-till-now, used-car, 7511, unknown, over-seven, 1, single-male, none, 4, building-society, 51, none, free, 1, skilled, 2, no, yes, bad.
less-200DM, 18, critical, radio-tv, 1795, less100DM, over-seven, 3, female-divorced, guarantor, 4, real-estate, 48, bank, rent, 2, unskilled-resident, 1, no, yes, good.
0DM, 24, duly-till-now, new-car, 2303, less100DM, over-seven, 4, single-male, co-applicant, 1, real-estate, 45, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 8, critical, new-car, 3398, less100DM, seven-years, 1, single-male, none, 4, real-estate, 39, none, own, 2, unskilled-resident, 1, yes, no, good.
no-account, 18, bank-paid-duly, new-car, 6458, less100DM, over-seven, 2, single-male, none, 4, none, 39, bank, own, 2, management, 2, no, yes, bad.
0DM, 24, critical, used-car, 6419, less100DM, over-seven, 2, female-divorced, none, 4, none, 44, none, free, 2, management, 2, no, yes, good.
no-account, 12, duly-till-now, new-car, 640, less100DM, four-years, 4, male-divorced, none, 2, real-estate, 49, none, own, 1, unskilled-resident, 1, yes, yes, good.
less-200DM, 9, critical, furniture, 1919, less100DM, seven-years, 4, single-male, none, 3, car, 35, none, rent, 1, skilled, 1, no, yes, good.
0DM, 28, duly-till-now, new-car, 4006, less100DM, four-years, 3, single-male, none, 2, car, 45, none, own, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 6, bank-paid-duly, new-car, 783, unknown, four-years, 1, single-male, guarantor, 2, real-estate, 26, stores, own, 1, unskilled-resident, 2, yes, yes, good.
0DM, 24, delay, radio-tv, 1659, less100DM, one-year, 4, female-divorced, none, 2, car, 29, none, rent, 1, unskilled-resident, 1, no, yes, bad.
less-200DM, 15, critical, business, 2326, less1000DM, four-years, 2, single-male, none, 4, car, 27, bank, own, 1, skilled, 1, yes, yes, good.
no-account, 24, critical, used-car, 5804, over1000DM, four-years, 4, single-male, none, 2, real-estate, 27, none, own, 2, skilled, 1, yes, yes, good.
0DM, 24, duly-till-now, used-car, 2924, less100DM, four-years, 3, single-male, guarantor, 4, none, 63, bank, own, 1, skilled, 2, no, yes, good.
less-200DM, 48, delay, education, 6224, less100DM, over-seven, 4, single-male, none, 4, none, 50, none, free, 1, skilled, 1, yes, yes, bad.
0DM, 27, all-paid-duly, business, 5293, less100DM, unemployed, 2, single-male, none, 4, building-society, 50, stores, own, 2, skilled, 1, no, yes, bad.
0DM, 48, duly-till-now, used-car, 10297, less100DM, seven-years, 4, single-male, none, 4, none, 39, stores, free, 3, skilled, 2, no, yes, bad.
no-account, 18, duly-till-now, new-car, 6761, unknown, four-years, 2, single-male, none, 4, car, 68, none, rent, 2, skilled, 1, yes, yes, bad.
less-200DM, 48, bank-paid-duly, business, 3566, less500DM, seven-years, 4, single-male, none, 2, car, 30, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 15, critical, radio-tv, 1271, unknown, four-years, 3, single-male, none, 4, none, 39, none, free, 2, skilled, 1, no, yes, bad.
no-account, 15, duly-till-now, used-car, 4657, less100DM, four-years, 3, single-male, none, 2, car, 30, none, own, 1, skilled, 1, no, yes, good.
0DM, 42, duly-till-now, radio-tv, 3965, less100DM, one-year, 4, single-male, none, 3, car, 34, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 6, bank-paid-duly, education, 1198, less100DM, over-seven, 4, female-divorced, none, 4, none, 35, none, free, 1, skilled, 1, yes, yes, bad.
0DM, 12, duly-till-now, radio-tv, 2214, less100DM, four-years, 4, single-male, none, 3, building-society, 24, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 24, duly-till-now, used-car, 5433, unknown, unemployed, 2, female-divorced, none, 4, building-society, 26, none, rent, 1, management, 1, no, yes, good.
0DM, 12, duly-till-now, education, 684, less100DM, four-years, 4, single-male, none, 4, car, 40, none, rent, 1, unskilled-resident, 2, yes, yes, bad.
over-200DM, 15, duly-till-now, radio-tv, 2327, less100DM, one-year, 2, female-divorced, none, 3, real-estate, 25, none, own, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 10, duly-till-now, used-car, 2901, unknown, one-year, 1, female-divorced, none, 4, real-estate, 31, none, rent, 1, skilled, 1, yes, yes, good.
less-200DM, 36, duly-till-now, radio-tv, 2323, less100DM, seven-years, 4, single-male, none, 4, car, 24, none, rent, 1, skilled, 1, yes, yes, good.
no-account, 15, duly-till-now, furniture, 2186, unknown, seven-years, 1, female-divorced, none, 4, real-estate, 33, bank, rent, 1, unskilled-resident, 1, yes, yes, good.
no-account, 12, critical, education, 2012, unknown, seven-years, 4, female-divorced, none, 2, car, 61, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, critical, radio-tv, 1851, less100DM, seven-years, 4, married-male, guarantor, 2, car, 33, none, own, 2, skilled, 1, no, yes, good.
no-account, 6, duly-till-now, education, 1538, less100DM, one-year, 1, female-divorced, none, 2, none, 56, none, own, 1, skilled, 1, yes, yes, good.
no-account, 11, critical, new-car, 7228, less100DM, four-years, 1, single-male, none, 4, building-society, 39, none, own, 2, unskilled-resident, 1, yes, yes, good.
no-account, 12, duly-till-now, furniture, 1123, less1000DM, four-years, 4, female-divorced, none, 4, car, 29, none, rent, 1, unskilled-resident, 1, yes, yes, bad.
less-200DM, 30, critical, furniture, 8386, less100DM, seven-years, 2, single-male, none, 2, building-society, 49, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 24, critical, used-car, 2957, less100DM, over-seven, 4, single-male, none, 4, building-society, 63, none, own, 2, skilled, 1, no, yes, good.
no-account, 18, critical, radio-tv, 629, less1000DM, over-seven, 4, single-male, none, 3, building-society, 32, bank, own, 2, management, 1, no, yes, good.
less-200DM, 18, duly-till-now, repairs, 3872, less100DM, unemployed, 2, female-divorced, none, 4, car, 67, none, own, 1, skilled, 1, no, yes, good.
0DM, 24, duly-till-now, new-car, 1207, less100DM, one-year, 4, female-divorced, none, 4, building-society, 24, none, rent, 1, skilled, 1, yes, yes, bad.
0DM, 18, duly-till-now, radio-tv, 3190, less100DM, four-years, 2, female-divorced, none, 2, real-estate, 24, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 15, critical, radio-tv, 1829, less100DM, over-seven, 4, single-male, none, 4, car, 46, none, own, 2, skilled, 1, no, yes, good.
less-200DM, 24, duly-till-now, used-car, 4113, less1000DM, one-year, 3, female-divorced, none, 4, car, 28, none, rent, 1, skilled, 1, yes, yes, bad.
no-account, 12, critical, new-car, 1255, less100DM, over-seven, 4, single-male, none, 4, real-estate, 61, none, own, 2, unskilled-resident, 1, yes, yes, good.
0DM, 14, duly-till-now, new-car, 3973, less100DM, unemployed, 1, single-male, none, 4, none, 22, none, free, 1, skilled, 1, yes, yes, good.
less-200DM, 30, duly-till-now, radio-tv, 2991, unknown, over-seven, 2, female-divorced, none, 4, car, 25, none, own, 1, skilled, 1, yes, yes, good.
0DM, 12, all-paid-duly, repairs, 1108, less100DM, seven-years, 4, single-male, none, 3, real-estate, 28, none, own, 2, skilled, 1, yes, yes, bad.
0DM, 18, duly-till-now, new-car, 976, less100DM, one-year, 1, female-divorced, none, 2, car, 23, none, own, 1, unskilled-resident, 1, yes, yes, bad.
0DM, 8, critical, others, 1164, less100DM, over-seven, 3, single-male, none, 4, none, 51, bank, free, 2, management, 2, no, yes, good.
less-200DM, 42, bank-paid-duly, used-car, 9283, less100DM, unemployed, 1, single-male, none, 2, none, 55, bank, free, 1, management, 1, no, yes, good.
0DM, 18, all-paid-duly, business, 3104, less100DM, seven-years, 3, single-male, none, 1, building-society, 31, bank, own, 1, skilled, 1, no, yes, good.
no-account, 36, delay, business, 9572, less100DM, one-year, 1, male-divorced, none, 1, car, 28, none, own, 2, skilled, 1, yes, yes, bad.
0DM, 18, duly-till-now, furniture, 2659, over1000DM, four-years, 4, single-male, none, 2, car, 28, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, furniture, 929, unknown, seven-years, 4, single-male, none, 2, car, 31, stores, own, 1, skilled, 1, no, yes, good.
no-account, 24, duly-till-now, new-car, 1474, less500DM, one-year, 4, married-male, none, 3, real-estate, 33, none, own, 1, skilled, 1, no, yes, good.
no-account, 24, duly-till-now, radio-tv, 1552, less100DM, seven-years, 3, single-male, none, 1, car, 32, bank, own, 1, skilled, 2, yes, yes, good.
no-account, 24, duly-till-now, retraining, 937, less100DM, one-year, 4, married-male, none, 3, car, 27, none, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 36, delay, new-car, 2862, less500DM, over-seven, 4, single-male, none, 3, none, 30, none, free, 1, skilled, 1, yes, yes, good.
less-200DM, 18, critical, radio-tv, 1245, less100DM, four-years, 4, married-male, none, 2, car, 33, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 8, critical, new-car, 731, less100DM, over-seven, 4, single-male, none, 4, real-estate, 47, none, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 36, duly-till-now, new-car, 14318, less100DM, over-seven, 4, single-male, none, 2, none, 57, none, free, 1, management, 1, no, yes, bad.
0DM, 12, duly-till-now, furniture, 1262, unknown, over-seven, 2, male-divorced, none, 4, building-society, 49, none, own, 1, unskilled-resident, 1, no, yes, good.
0DM, 6, critical, new-car, 860, less100DM, over-seven, 1, female-divorced, none, 4, none, 39, none, own, 2, skilled, 1, no, yes, good.
no-account, 21, duly-till-now, new-car, 2782, less1000DM, seven-years, 1, female-divorced, none, 2, car, 31, bank, own, 1, management, 1, yes, yes, good.
less-200DM, 18, critical, furniture, 1295, less100DM, one-year, 4, female-divorced, none, 1, building-society, 27, none, own, 2, skilled, 1, yes, yes, good.
0DM, 24, all-paid-duly, furniture, 4110, less100DM, over-seven, 3, single-male, none, 4, none, 23, bank, rent, 2, skilled, 2, yes, yes, bad.
no-account, 36, duly-till-now, used-car, 8133, less100DM, four-years, 1, female-divorced, none, 2, building-society, 30, bank, own, 1, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 1901, less500DM, four-years, 4, single-male, none, 4, car, 29, none, rent, 1, management, 1, no, yes, good.
less-200DM, 12, duly-till-now, business, 841, less500DM, seven-years, 2, female-divorced, none, 4, real-estate, 23, none, rent, 1, unskilled-resident, 1, yes, yes, good.
0DM, 12, duly-till-now, furniture, 2578, less100DM, unemployed, 3, female-divorced, none, 4, none, 55, none, free, 1, management, 1, yes, yes, good.
no-account, 24, critical, furniture, 2028, less100DM, seven-years, 2, single-male, none, 2, building-society, 30, none, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 48, duly-till-now, new-car, 8487, unknown, seven-years, 1, female-divorced, none, 2, car, 24, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 48, duly-till-now, others, 5381, unknown, unemployed, 3, single-male, none, 4, none, 40, bank, free, 1, unemployed-non-resident, 1, no, yes, good.
0DM, 6, duly-till-now, domestic-app, 343, less100DM, one-year, 4, female-divorced, none, 1, real-estate, 27, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 21, duly-till-now, business, 1188, less100DM, over-seven, 2, female-divorced, none, 4, building-society, 39, none, own, 1, skilled, 2, yes, yes, bad.
less-200DM, 24, duly-till-now, radio-tv, 3758, less1000DM, unemployed, 1, female-divorced, none, 4, none, 23, none, rent, 1, unemployed-non-resident, 1, yes, yes, good.
no-account, 15, critical, furniture, 3343, less100DM, four-years, 4, single-male, none, 2, none, 28, none, free, 1, skilled, 1, no, yes, good.
less-200DM, 12, duly-till-now, new-car, 888, less100DM, over-seven, 4, single-male, none, 4, car, 41, bank, own, 1, unskilled-resident, 2, yes, yes, bad.
no-account, 9, critical, furniture, 2406, less100DM, unemployed, 2, single-male, none, 3, car, 31, none, own, 1, management, 1, yes, yes, good.
over-200DM, 9, all-paid-duly, radio-tv, 1337, less100DM, one-year, 4, single-male, none, 2, car, 34, none, own, 2, management, 1, no, yes, bad.
less-200DM, 60, delay, radio-tv, 7418, unknown, four-years, 1, single-male, none, 1, real-estate, 27, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 18, duly-till-now, radio-tv, 2600, less100DM, four-years, 4, single-male, none, 4, none, 65, none, free, 2, skilled, 1, yes, yes, bad.
no-account, 12, critical, radio-tv, 976, unknown, over-seven, 4, single-male, none, 4, car, 35, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 3621, less500DM, over-seven, 2, single-male, none, 4, car, 31, none, own, 2, skilled, 1, yes, yes, bad.
0DM, 15, critical, furniture, 1433, less100DM, four-years, 4, female-divorced, none, 3, building-society, 25, none, rent, 2, skilled, 1, yes, yes, good.
less-200DM, 21, duly-till-now, furniture, 3976, unknown, seven-years, 2, single-male, none, 3, car, 35, none, own, 1, skilled, 1, no, yes, good.
no-account, 24, bank-paid-duly, business, 1559, less100DM, seven-years, 4, single-male, none, 4, car, 50, bank, own, 1, skilled, 1, no, yes, good.
no-account, 24, duly-till-now, used-car, 3488, less500DM, seven-years, 3, female-divorced, none, 4, car, 23, none, own, 1, skilled, 1, yes, yes, good.
no-account, 36, duly-till-now, furniture, 3349, less100DM, four-years, 4, female-divorced, none, 2, car, 28, none, own, 1, management, 1, no, yes, bad.
no-account, 27, critical, furniture, 4526, over1000DM, one-year, 4, single-male, none, 2, real-estate, 32, stores, own, 2, unskilled-resident, 2, no, yes, good.
0DM, 24, critical, new-car, 1199, less100DM, over-seven, 4, single-male, none, 4, car, 60, none, own, 2, unskilled-resident, 1, yes, yes, bad.
no-account, 9, duly-till-now, radio-tv, 1478, less100DM, seven-years, 4, single-male, none, 2, car, 22, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 18, duly-till-now, new-car, 2249, less500DM, seven-years, 4, single-male, none, 3, car, 30, none, own, 1, management, 2, no, yes, good.
no-account, 30, critical, radio-tv, 3077, unknown, over-seven, 3, single-male, none, 2, car, 40, none, own, 2, skilled, 2, no, yes, good.
0DM, 18, duly-till-now, furniture, 2473, less100DM, unemployed, 4, single-male, none, 1, car, 25, none, own, 1, unemployed-non-resident, 1, yes, yes, bad.
no-account, 10, critical, furniture, 2069, unknown, four-years, 2, married-male, none, 1, car, 26, none, own, 2, skilled, 1, yes, no, good.
0DM, 24, duly-till-now, new-car, 4817, less100DM, seven-years, 2, single-male, co-applicant, 3, building-society, 31, none, own, 1, skilled, 1, no, yes, bad.
0DM, 42, delay, radio-tv, 4370, less100DM, seven-years, 3, single-male, none, 2, building-society, 26, bank, own, 2, skilled, 2, no, yes, bad.
no-account, 12, critical, radio-tv, 2331, unknown, over-seven, 1, single-male, co-applicant, 4, real-estate, 49, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 18, all-paid-duly, furniture, 3244, less100DM, four-years, 1, female-divorced, none, 4, car, 33, bank, own, 2, skilled, 1, no, yes, good.
less-200DM, 36, bank-paid-duly, domestic-app, 3990, unknown, one-year, 3, female-divorced, none, 2, none, 29, bank, own, 1, unemployed-non-resident, 1, yes, yes, good.
0DM, 15, all-paid-duly, new-car, 950, less100DM, over-seven, 4, single-male, none, 3, car, 33, none, rent, 2, skilled, 2, yes, yes, bad.
over-200DM, 18, duly-till-now, new-car, 1961, less100DM, over-seven, 3, female-divorced, none, 2, car, 23, none, own, 1, management, 1, yes, yes, good.
0DM, 12, duly-till-now, furniture, 1289, less100DM, four-years, 4, single-male, guarantor, 1, building-society, 21, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 18, critical, new-car, 1055, less100DM, one-year, 4, female-divorced, none, 1, building-society, 30, none, own, 2, skilled, 1, yes, yes, good.
no-account, 21, delay, used-car, 2993, less100DM, four-years, 3, single-male, none, 2, real-estate, 28, stores, own, 2, unskilled-resident, 1, yes, yes, good.
no-account, 6, delay, radio-tv, 932, less100DM, four-years, 3, female-divorced, none, 2, real-estate, 24, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 10, duly-till-now, domestic-app, 1225, less100DM, four-years, 2, single-male, none, 2, car, 37, none, own, 1, skilled, 1, no, yes, good.
no-account, 4, critical, radio-tv, 1544, less100DM, seven-years, 2, single-male, none, 1, real-estate, 42, none, own, 3, unskilled-resident, 2, yes, yes, good.
less-200DM, 6, delay, business, 1449, less500DM, over-seven, 1, male-divorced, none, 2, car, 31, bank, own, 2, skilled, 2, yes, yes, good.
no-account, 9, duly-till-now, furniture, 1313, less100DM, over-seven, 1, single-male, none, 4, car, 20, none, own, 1, skilled, 1, yes, yes, good.
no-account, 10, critical, furniture, 2146, less100DM, one-year, 1, female-divorced, none, 3, real-estate, 23, none, rent, 2, skilled, 1, yes, yes, good.
0DM, 6, critical, new-car, 609, less100DM, seven-years, 4, female-divorced, none, 3, building-society, 37, none, own, 2, skilled, 1, yes, no, good.
0DM, 30, duly-till-now, furniture, 3108, less100DM, one-year, 2, male-divorced, none, 4, building-society, 31, none, own, 1, unskilled-resident, 1, yes, yes, bad.
less-200DM, 9, critical, education, 1136, over1000DM, over-seven, 4, single-male, none, 3, none, 32, none, free, 2, skilled, 2, yes, yes, bad.
no-account, 12, duly-till-now, new-car, 3527, unknown, one-year, 2, single-male, none, 3, building-society, 45, none, own, 1, management, 2, no, yes, good.
less-200DM, 12, delay, radio-tv, 585, less100DM, four-years, 4, married-male, co-applicant, 4, real-estate, 20, none, rent, 2, skilled, 1, yes, yes, good.
0DM, 15, critical, furniture, 975, less100DM, four-years, 2, male-divorced, none, 3, building-society, 25, none, own, 2, skilled, 1, yes, yes, good.
no-account, 36, delay, furniture, 7678, less1000DM, seven-years, 2, female-divorced, none, 4, car, 40, none, own, 2, skilled, 1, no, yes, good.
no-account, 12, critical, education, 2748, less100DM, over-seven, 2, female-divorced, none, 4, none, 57, bank, free, 3, unskilled-resident, 1, yes, yes, good.
less-200DM, 24, delay, business, 6967, less500DM, seven-years, 4, single-male, none, 4, car, 36, none, rent, 1, management, 1, no, yes, good.
